position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
160029,安庆,桐城市卫生健康委员会,财务管理,本科,财政学类、会计学专业、财务管理专业、审计学专业,1,13
160030,安庆,桐城市卫生健康委员会,健康管理,本科,临床医学类、基础医学专业、卫生监督专业,1,11
160031,安庆,桐城市应急管理局,应急管理,本科,矿业类、新闻学专业、行政管理专业、材料化学专业、化学专业、化学工程与工艺专业、化工安全工程专业,1,29
160032,安庆,桐城市审计局,经济审计,本科,经济学类、财政学类、金融学类、土木类、管理科学与工程类、工商管理类,5,245
160033,安庆,桐城市市场监督管理局,市场监管1,本科,不限,3,89
160034,安庆,桐城市市场监督管理局,市场监管2,本科,中国语言文学类、新闻传播学类、电子信息类,3,85
160035,安庆,桐城市市场监督管理局,市场监管3,本科,法学类、金融学类、机械类、食品科学与工程类、工商管理类,4,139
160036,安庆,桐城市市场监督管理局,市场监管4,本科,法学门类、计算机类、中药学类、药学类,5,133
160037,安庆,桐城市乡镇机关,经济统计,本科,经济学类、财政学类、金融学类、统计学类,6,113
160038,安庆,桐城市乡镇机关,村镇建设管理1,专科,不限,5,213
160039,安庆,桐城市乡镇机关,村镇建设管理2,专科,不限,5,202
160040,安庆,桐城市乡镇机关,应急管理,专科,不限,8,296
160041,安庆,桐城市乡镇机关,基层服务1,专科,不限,7,19
160042,安庆,桐城市乡镇机关,基层服务2,专科,不限,7,15
160043,安庆,桐城市乡镇机关,农村经济1,专科,不限,7,101
160044,安庆,桐城市乡镇机关,农村经济2,专科,不限,8,93
160045,安庆,桐城市乡镇机关,农村经济3,专科,不限,8,149
160046,安庆,桐城市范岗镇,村镇规划,本科,土木类、建筑类,1,21
160047,安庆,桐城市新渡镇,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,27
160048,安庆,桐城市乡镇机关,乡村振兴,高中（中专）,不限,2,0
160049,安庆,中共怀宁县委办公室,综合文字,本科,中国语言文学类、新闻传播学类,1,14
160050,安庆,中共怀宁县委办公室,机关综合,本科,不限,1,4
160051,安庆,中共怀宁县纪律检查委员会怀宁县监察委员会,执纪监督,本科,新闻传播学类、汉语言文学专业、法学专业、会计学专业、财务管理专业、审计学专业,4,63
160052,安庆,中共怀宁县纪委监委派驻机构,监督检查,本科,财政学类、金融学类、法学专业、会计学专业、财务管理专业、审计学专业,3,76
160053,安庆,中共怀宁县委组织部,机关综合,本科,中国语言文学类、新闻传播学类、经济学类、法学专业,1,13
160054,安庆,中共怀宁县委宣传部,思想宣传,本科,不限,1,55
160055,安庆,中共怀宁县委统战部,综合文字,本科,不限,1,54
160056,安庆,中共怀宁县委巡察工作领导小组办公室,机关综合,本科,会计学专业、财务管理专业、财政学专业,1,15
160057,安庆,共青团怀宁县委员会,青年工作,本科,不限,1,52
160058,安庆,怀宁经济开发区管理委员会,企业服务,本科,经济学类、法学类,1,14
160059,安庆,怀宁县教育局,财务管理,本科,财政学类、财务管理专业、会计学专业、审计学专业,2,29
160060,安庆,怀宁县教育局,综合文字,本科,汉语言文学专业、汉语言专业、秘书学专业,1,13
160061,安庆,怀宁县教育局,机关综合,本科,不限,1,81
160062,安庆,怀宁县科技经济信息化局,经济管理,本科,经济学类、财政学类、金融学类、会计学专业、财务管理专业,1,20
